# 1st line: name of data. 2nd line: units of data.3rd line: paramter name. 4th line: parameter units.5th line: excitation energy units. 6th line: parameter value. 7th line: excitation energy value.following lines: data.
Time;Filtered photoAcoustic signal
µs;V/µJ
Wavelength;Wavelength
nm;nm
µJ;µJ
98.06400000000001;1.277160631221315e-07
98.068;1.1455541577346204e-07
98.072;1.0119901071561974e-07
98.07600000000001;8.766188157486318e-08
98.08;7.395993313615436e-08
98.084;6.010994622217403e-08
98.08800000000001;4.612957352121017e-08
98.092;3.203732603814374e-08
98.096;1.7852549954361782e-08
98.10000000000001;3.5953937996433407e-09
98.104;-1.0713234039560229e-08
98.108;-2.5051717327046453e-08
98.11200000000001;-3.939779322561137e-08
98.116;-5.3728622389988464e-08
98.12;-6.802086738448433e-08
98.124;-8.225077878811066e-08
98.128;-9.639428823815179e-08
98.132;-1.104271075587642e-07
98.136;-1.2432483302598713e-07
98.14;-1.3806305373595354e-07
98.144;-1.5161746297053086e-07
98.148;-1.649639713953471e-07
98.152;-1.780788208802689e-07
98.156;-1.9093869770281153e-07
98.16;-2.035208438814064e-07
98.164;-2.1580316538843375e-07
98.168;-2.277643360127455e-07
98.172;-2.393838956781034e-07
98.176;-2.506423420773744e-07
98.18;-2.6152121455202163e-07
98.184;-2.720031692317645e-07
98.188;-2.8207204454934903e-07
98.19200000000001;-2.917129163590521e-07
98.196;-3.0091214201351886e-07
98.2;-3.0965739289024624e-07
98.20400000000001;-3.179376750047828e-07
98.208;-3.25743337500627e-07
98.212;-3.330660689638684e-07
98.21600000000001;-3.398988816717015e-07
98.22;-3.4623608404585084e-07
98.224;-3.5207324174242195e-07
98.22800000000001;-3.5740712796646224e-07
98.232;-3.622356637503077e-07
98.236;-3.6655784907740875e-07
98.24000000000001;-3.703736858656e-07
98.244;-3.73684093943704e-07
98.248;-3.764908212610312e-07
98.252;-3.78796349659035e-07
98.256;-3.8060379760659716e-07
98.26;-3.8191682135383476e-07
98.264;-3.827395159928966e-07
98.268;-3.830763179271549e-07
98.272;-3.8293191024199667e-07
98.276;-3.8231113244085224e-07
98.28;-3.812188959592524e-07
98.284;-3.796601067979672e-07
98.288;-3.776395965243334e-07
98.292;-3.751620627797189e-07
98.296;-3.7223202030195683e-07
98.3;-3.6885376332609383e-07
98.304;-3.6503134006669873e-07
98.308;-3.6076853981235586e-07
98.312;-3.56068892980041e-07
98.316;-3.509356842862982e-07
98.32000000000001;-3.453719789960813e-07
98.324;-3.393806620114859e-07
98.328;-3.329644893641634e-07
98.33200000000001;-3.2612615147977676e-07
98.336;-3.188683473932628e-07
98.34;-3.111938689126608e-07
98.34400000000001;-3.031056935595743e-07
98.348;-2.946070849585031e-07
98.352;-2.8570169920775965e-07
98.35600000000001;-2.763936956436706e-07
98.36;-2.6668785030928487e-07
98.364;-2.5658967036058094e-07
98.368;-2.461055075886501e-07
98.372;-2.3524266920666881e-07
98.376;-2.2400952404646492e-07
98.38;-2.12415602331589e-07
98.384;-2.0047168724212164e-07
98.388;-1.8818989656071587e-07
98.392;-1.7558375278894506e-07
98.396;-1.6266824024691935e-07
98.4;-1.4945984781597984e-07
98.404;-1.3597659615239715e-07
98.408;-1.2223804838737257e-07
98.412;-1.082653035329613e-07
98.416;-9.408097203222553e-08
98.42;-7.970913312217711e-08
98.424;-6.517527391686602e-08
98.428;-5.050621036214857e-08
98.432;-3.572999045994054e-08
98.436;-2.0875780404762453e-08
98.44;-5.973734515737154e-09
98.444;8.9451499204656e-09
98.44800000000001;2.3849191559219472e-08
98.452;3.870619611702745e-08
98.456;5.3483637968056265e-08
98.46000000000001;6.814885031740923e-08
98.464;8.266922190467323e-08
98.468;9.70123980707274e-08
98.47200000000001;1.1114648392742128e-07
98.476;1.2504024730515011e-07
98.48;1.3866331911880632e-07
98.48400000000001;1.5198638878892874e-07
98.488;1.6498139238252421e-07
98.492;1.7762169119701978e-07
98.496;1.898822386006914e-07
98.5;2.0173973306285563e-07
98.504;2.1317275545584514e-07
98.508;2.2416188888663312e-07
98.512;2.346898195168568e-07
98.516;2.447414170535102e-07
98.52;2.5430379383593643e-07
98.524;2.6336634170491757e-07
98.528;2.719207461132971e-07
98.532;2.799609772211459e-07
98.536;2.8748325800828397e-07
98.54;2.944860097291718e-07
98.544;3.0096977532588635e-07
98.548;3.0693712170018163e-07
98.552;3.123925220216289e-07
98.556;3.173422195117409e-07
98.56;3.217940743901755e-07
98.56400000000001;3.2575739589512917e-07
98.568;3.2924276149266524e-07
98.572;3.322618255660714e-07
98.57600000000001;3.34827120023794e-07
98.58;3.369518493808813e-07
98.584;3.3864968295232517e-07
98.58800000000001;3.399345468458903e-07
98.592;3.4082041845598466e-07
98.596;3.41321126138458e-07
98.60000000000001;3.4145015668887386e-07
98.604;3.412204731543561e-07
98.608;3.406443453824982e-07
98.61200000000001;3.3973319555152944e-07
98.616;3.3849746073584713e-07
98.62;3.36946474342502e-07
98.624;3.35088368009988e-07
98.628;3.3292999529385583e-07
98.632;3.304768781776734e-07
98.636;3.277331771464016e-07
98.64;3.2470168524630163e-07
98.644;3.2138384623515526e-07
98.648;3.1777979660312656e-07
98.652;3.138884309223365e-07
98.656;3.0970748966649866e-07
98.66;3.05233668335052e-07
98.664;3.0046274642330507e-07
98.668;2.9538973450517647e-07
98.672;2.9000903744197935e-07
98.676;2.843146315028484e-07
98.68;2.783002529830605e-07
98.684;2.719595957384526e-07
98.688;2.652865149198242e-07
98.69200000000001;2.582752340925906e-07
98.696;2.509205528655153e-07
98.7;2.432180521291111e-07
98.70400000000001;2.3516429401973704e-07
98.708;2.2675701377950186e-07
98.712;2.1799530077426714e-07
98.71600000000001;2.0887976606124427e-07
98.72;1.994126940623214e-07
98.724;1.8959817609728383e-07
98.72800000000001;1.7944222375997166e-07
98.732;1.6895286037720319e-07
98.736;1.5814018907164595e-07
98.74000000000001;1.4701643625204306e-07
98.744;1.3559596967333557e-07
98.748;1.238952905410152e-07
98.752;1.1193299947410807e-07
98.756;9.972973648496963e-08
98.76;8.730809547697483e-08
98.764;7.469251409860008e-08
98.768;6.190914011976877e-08
98.772;4.898567580924586e-08
98.776;3.595120208607371e-08
98.78;2.2835984489539686e-08
98.784;9.671263257248228e-09
98.788;-3.5109699838224316e-09
98.792;-1.6678206225826804e-08
